planid,provider,plan_name,premium,deductible,copay,coverageamount,networksize,claimrejectionrate,addons,waitingperioddays,geos,plan_type,plan_tier,age_band_18_35_premium,age_band_36_50_premium,age_band_51_65_premium,max_out_of_pocket,plan_category
PL10102,Navi General Insurance,Navi General Insurance Senior Citizen Health Bronze,6214.81,5000.0,5.0,182158,12223,3.4,dental,30,"Rajasthan,Bihar,Maharashtra,Odisha",individual,Bronze,5717.63,6960.59,9011.47,5000,Senior Citizen Health
PL10103,Navi General Insurance,Navi General Insurance Critical Illness Plan,525.0,0.0,0.0,500000,3547,3.42,criticalillness,90,"Rajasthan,Odisha,West Bengal,Delhi,Maharashtra",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10104,Go Digit Insurance,Go Digit Insurance Individual Health Insurance Bronze,6303.52,5000.0,5.0,172438,8427,4.88,"criticalillness,hospitalcash",60,"Delhi,Kerala,West Bengal,Maharashtra",individual,Bronze,5799.24,7059.94,9140.1,5000,Individual Health Insurance
PL10105,Go Digit Insurance,Go Digit Insurance Family Floater Silver,25315.21,20000.0,5.0,477257,5914,6.1,"hospitalcash,maternity,opd,accident_cover",180,"Telangana,Delhi,Maharashtra,Haryana",family_floater,Silver,23289.99,28353.04,36707.05,5000,Family Floater
PL10106,Go Digit Insurance,Go Digit Insurance Senior Citizen Health Bronze,7099.03,20000.0,5.0,152618,11505,2.79,"opd,telemedicine,criticalillness,ayush",90,"Punjab,Uttar Pradesh,Gujarat,Telangana",individual,Bronze,6531.11,7950.91,10293.59,50000,Senior Citizen Health
PL10107,Go Digit Insurance,Go Digit Insurance Critical Illness Plan,5250.0,0.0,0.0,5000000,7528,3.13,criticalillness,180,"Haryana,Delhi,Telangana,Kerala,Punjab",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10108,Zuno General Insurance,Zuno General Insurance Individual Health Insurance Gold,26323.85,20000.0,5.0,896754,14038,7.75,"roomrentwaiver,maternity,accident_cover,opd",90,"Andhra Pradesh,Uttar Pradesh,Delhi,West Bengal",individual,Gold,24217.94,29482.71,38169.58,10000,Individual Health Insurance
PL10109,Zuno General Insurance,Zuno General Insurance Family Floater Bronze,11898.05,20000.0,10.0,210059,5824,4.44,dental,30,"Telangana,Odisha,Rajasthan,West Bengal",family_floater,Bronze,10946.21,13325.82,17252.17,5000,Family Floater
PL10110,Zuno General Insurance,Zuno General Insurance Senior Citizen Health Silver,13736.38,5000.0,10.0,536281,13964,5.09,"roomrentwaiver,criticalillness",60,"Gujarat,Delhi,Haryana,Punjab",individual,Silver,12637.47,15384.75,19917.75,25000,Senior Citizen Health
PL10111,ECGC Limited,ECGC Limited Individual Health Insurance Bronze,7486.04,10000.0,15.0,190272,6707,2.2,"opd,roomrentwaiver,maternity",60,"Gujarat,Punjab,Tamil Nadu,Delhi",individual,Bronze,6887.16,8384.36,10854.76,50000,Individual Health Insurance
PL10112,ECGC Limited,ECGC Limited Family Floater Gold,37497.39,5000.0,10.0,1164581,8007,1.88,"dental,accident_cover,opd",30,"Punjab,Karnataka,Andhra Pradesh,Delhi",family_floater,Gold,34497.6,41997.08,54371.22,25000,Family Floater
PL10113,ECGC Limited,ECGC Limited Senior Citizen Health Silver,12791.51,5000.0,0.0,433714,1838,1.69,hospitalcash,60,"Uttar Pradesh,Kerala,Odisha,Gujarat",individual,Silver,11768.19,14326.49,18547.69,50000,Senior Citizen Health
PL10114,ECGC Limited,ECGC Limited Critical Illness Plan,525.0,0.0,0.0,500000,2139,5.01,criticalillness,180,"Delhi,Haryana,Tamil Nadu,Gujarat,Karnataka",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10115,Future Generali India Insurance,Future Generali India Insurance Individual Health Insurance Bronze,8074.73,5000.0,10.0,199605,2491,4.32,"accident_cover,maternity,opd,dental",90,"Bihar,West Bengal,Rajasthan,Tamil Nadu",individual,Bronze,7428.75,9043.7,11708.36,25000,Individual Health Insurance
PL10116,Future Generali India Insurance,Future Generali India Insurance Family Floater Bronze,12432.66,20000.0,10.0,233568,3231,3.21,"maternity,telemedicine,accident_cover",90,"Telangana,Punjab,Andhra Pradesh,Haryana",family_floater,Bronze,11438.05,13924.58,18027.36,10000,Family Floater
PL10117,Future Generali India Insurance,Future Generali India Insurance Senior Citizen Health Silver,11298.27,5000.0,0.0,509144,1968,5.78,"ayush,telemedicine",90,"Karnataka,Uttar Pradesh,Delhi,Andhra Pradesh",individual,Silver,10394.41,12654.06,16382.49,5000,Senior Citizen Health
PL10118,Future Generali India Insurance,Future Generali India Insurance Critical Illness Plan,5250.0,0.0,0.0,5000000,7472,3.14,criticalillness,180,"Tamil Nadu,West Bengal,Rajasthan,Karnataka,Bihar",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10119,HDFC ERGO General Insurance,HDFC ERGO General Insurance Individual Health Insurance Gold,28460.03,5000.0,10.0,1025766,11184,6.81,"telemedicine,opd,dental,criticalillness",30,"Punjab,Gujarat,Delhi,Kerala",individual,Gold,26183.23,31875.23,41267.04,25000,Individual Health Insurance
PL10120,HDFC ERGO General Insurance,HDFC ERGO General Insurance Family Floater Bronze,11534.07,0.0,5.0,193295,14040,6.2,"vision,accident_cover",60,"Maharashtra,Gujarat,West Bengal,Telangana",family_floater,Bronze,10611.34,12918.16,16724.4,10000,Family Floater
PL10121,HDFC ERGO General Insurance,HDFC ERGO General Insurance Senior Citizen Health Silver,16014.4,10000.0,0.0,563053,9971,1.17,telemedicine,30,"West Bengal,Tamil Nadu,Maharashtra,Gujarat",individual,Silver,14733.25,17936.13,23220.88,25000,Senior Citizen Health
PL10122,HDFC ERGO General Insurance,HDFC ERGO General Insurance Critical Illness Plan,5250.0,0.0,0.0,5000000,6402,5.66,criticalillness,365,"Haryana,Uttar Pradesh,Bihar,Delhi,Maharashtra",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10123,ICICI Lombard General Insurance,ICICI Lombard General Insurance Individual Health Insurance Bronze,7852.92,0.0,5.0,222510,6304,6.96,"criticalillness,hospitalcash,vision",90,"Uttar Pradesh,Andhra Pradesh,Karnataka,Haryana",individual,Bronze,7224.69,8795.27,11386.73,10000,Individual Health Insurance
PL10124,ICICI Lombard General Insurance,ICICI Lombard General Insurance Family Floater Silver,24314.31,10000.0,15.0,504913,4623,2.68,"accident_cover,criticalillness",30,"Odisha,Maharashtra,Kerala,Karnataka",family_floater,Silver,22369.17,27232.03,35255.75,5000,Family Floater
PL10125,ICICI Lombard General Insurance,ICICI Lombard General Insurance Senior Citizen Health Silver,15939.96,20000.0,10.0,442494,8085,3.64,"vision,criticalillness",60,"Odisha,Haryana,Kerala,Uttar Pradesh",individual,Silver,14664.76,17852.76,23112.94,5000,Senior Citizen Health
PL10126,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Individual Health Insurance Silver,16027.67,20000.0,15.0,500148,10664,1.69,"criticalillness,telemedicine,dental",30,"Maharashtra,Odisha,Gujarat,Andhra Pradesh",individual,Silver,14745.46,17950.99,23240.12,50000,Individual Health Insurance
PL10127,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Family Floater Silver,21438.08,5000.0,5.0,513097,2734,3.51,"vision,opd,criticalillness,dental",30,"Uttar Pradesh,Gujarat,Telangana,Andhra Pradesh",family_floater,Silver,19723.03,24010.65,31085.22,5000,Family Floater
PL10128,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Senior Citizen Health Silver,12271.89,20000.0,5.0,466006,11927,0.69,"roomrentwaiver,telemedicine",60,"Rajasthan,Punjab,Maharashtra,Uttar Pradesh",individual,Silver,11290.14,13744.52,17794.24,5000,Senior Citizen Health
PL10129,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Critical Illness Plan,5250.0,0.0,0.0,5000000,6148,3.99,criticalillness,90,"Odisha,Kerala,Uttar Pradesh,Punjab,Karnataka",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10130,Zurich Kotak General Insurance,Zurich Kotak General Insurance Individual Health Insurance Bronze,5278.36,20000.0,15.0,219527,3841,1.11,vision,180,"Delhi,Maharashtra,West Bengal,Kerala",individual,Bronze,4856.09,5911.76,7653.62,25000,Individual Health Insurance
PL10131,Zurich Kotak General Insurance,Zurich Kotak General Insurance Family Floater Silver,21014.18,20000.0,5.0,512225,6354,1.18,opd,180,"Haryana,Bihar,Andhra Pradesh,Punjab",family_floater,Silver,19333.05,23535.88,30470.56,10000,Family Floater
PL10132,Zurich Kotak General Insurance,Zurich Kotak General Insurance Senior Citizen Health Gold,24575.71,0.0,0.0,1062055,9253,0.84,"dental,criticalillness,vision,hospitalcash",90,"Karnataka,Tamil Nadu,Rajasthan,Gujarat",individual,Gold,22609.65,27524.8,35634.78,25000,Senior Citizen Health
PL10133,Zurich Kotak General Insurance,Zurich Kotak General Insurance Critical Illness Plan,2100.0,0.0,0.0,2000000,3006,3.62,criticalillness,180,"West Bengal,Andhra Pradesh,Bihar,Telangana,Odisha",individual,Gold,1995.0,2730.0,3780.0,0,Critical Illness
PL10134,Liberty General Insurance,Liberty General Insurance Individual Health Insurance Gold,20476.56,0.0,10.0,817179,8626,5.67,"opd,vision",60,"Bihar,Delhi,Uttar Pradesh,Telangana",individual,Gold,18838.44,22933.75,29691.01,10000,Individual Health Insurance
PL10135,Liberty General Insurance,Liberty General Insurance Family Floater Gold,39574.72,20000.0,0.0,1183780,5418,1.61,accident_cover,30,"Tamil Nadu,Odisha,Karnataka,Gujarat",family_floater,Gold,36408.74,44323.69,57383.34,25000,Family Floater
PL10136,Liberty General Insurance,Liberty General Insurance Senior Citizen Health Silver,11725.96,20000.0,0.0,587330,9823,3.3,maternity,180,"Uttar Pradesh,Odisha,Andhra Pradesh,Delhi",individual,Silver,10787.88,13133.08,17002.64,5000,Senior Citizen Health
PL10137,Magma General Insurance,Magma General Insurance Individual Health Insurance Bronze,6163.92,20000.0,5.0,190601,3800,5.75,roomrentwaiver,90,"Telangana,West Bengal,Tamil Nadu,Rajasthan",individual,Bronze,5670.81,6903.59,8937.68,5000,Individual Health Insurance
PL10138,Magma General Insurance,Magma General Insurance Family Floater Bronze,11003.61,5000.0,15.0,219111,659,7.41,"ayush,hospitalcash",90,"Rajasthan,Karnataka,West Bengal,Kerala",family_floater,Bronze,10123.32,12324.04,15955.23,25000,Family Floater
PL10139,Magma General Insurance,Magma General Insurance Senior Citizen Health Bronze,6672.37,20000.0,10.0,223732,10251,3.69,"hospitalcash,vision,accident_cover",30,"Punjab,Uttar Pradesh,Delhi,Bihar",individual,Bronze,6138.58,7473.05,9674.94,25000,Senior Citizen Health
PL10140,Niva Bupa Health Insurance,Niva Bupa Health Insurance Individual Health Insurance Gold,25684.38,20000.0,15.0,1073699,13076,6.54,hospitalcash,60,"Rajasthan,Karnataka,Delhi,Punjab",individual,Gold,23629.63,28766.51,37242.35,10000,Individual Health Insurance
PL10141,Niva Bupa Health Insurance,Niva Bupa Health Insurance Family Floater Silver,22487.98,0.0,0.0,559581,10370,4.31,"opd,telemedicine",30,"Odisha,Kerala,Karnataka,Tamil Nadu",family_floater,Silver,20688.94,25186.54,32607.57,5000,Family Floater
PL10142,Niva Bupa Health Insurance,Niva Bupa Health Insurance Senior Citizen Health Silver,12834.12,20000.0,0.0,535689,13106,2.06,"vision,accident_cover,dental",30,"Haryana,Maharashtra,Andhra Pradesh,Gujarat",individual,Silver,11807.39,14374.21,18609.47,25000,Senior Citizen Health
PL10143,Niva Bupa Health Insurance,Niva Bupa Health Insurance Critical Illness Plan,525.0,0.0,0.0,500000,4443,1.78,criticalillness,365,"Punjab,West Bengal,Maharashtra,Bihar,Kerala",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10144,National Insurance Company,National Insurance Company Individual Health Insurance Bronze,8046.93,20000.0,10.0,216721,8044,4.42,"criticalillness,vision",30,"Odisha,Telangana,Gujarat,Delhi",individual,Bronze,7403.18,9012.56,11668.05,5000,Individual Health Insurance
PL10145,National Insurance Company,National Insurance Company Family Floater Bronze,12868.09,20000.0,15.0,208627,1305,7.44,criticalillness,30,"Andhra Pradesh,Telangana,Odisha,Uttar Pradesh",family_floater,Bronze,11838.64,14412.26,18658.73,25000,Family Floater
PL10146,National Insurance Company,National Insurance Company Senior Citizen Health Gold,30055.6,20000.0,0.0,1098150,7960,4.94,telemedicine,60,"Odisha,Telangana,Punjab,Delhi",individual,Gold,27651.15,33662.27,43580.62,50000,Senior Citizen Health
PL10147,National Insurance Company,National Insurance Company Critical Illness Plan,525.0,0.0,0.0,500000,1080,5.74,criticalillness,180,"Kerala,Andhra Pradesh,Rajasthan,Haryana,Tamil Nadu",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10148,New India Assurance Company,New India Assurance Company Individual Health Insurance Silver,12944.84,10000.0,15.0,511166,13004,6.78,accident_cover,60,"Rajasthan,Kerala,Bihar,Karnataka",individual,Silver,11909.25,14498.22,18770.02,10000,Individual Health Insurance
PL10149,New India Assurance Company,New India Assurance Company Family Floater Platinum,62118.03,5000.0,15.0,4950665,4404,6.87,"telemedicine,vision,maternity,roomrentwaiver",60,"Haryana,Punjab,Rajasthan,Kerala",family_floater,Platinum,57148.59,69572.19,90071.14,10000,Family Floater
PL10150,New India Assurance Company,New India Assurance Company Senior Citizen Health Gold,30448.78,5000.0,15.0,959496,14567,7.34,"hospitalcash,ayush",60,"Andhra Pradesh,Gujarat,Rajasthan,Tamil Nadu",individual,Gold,28012.88,34102.63,44150.73,10000,Senior Citizen Health
PL10151,New India Assurance Company,New India Assurance Company Critical Illness Plan,2100.0,0.0,0.0,2000000,273,1.14,criticalillness,90,"Uttar Pradesh,Gujarat,Bihar,Delhi,Kerala",individual,Gold,1995.0,2730.0,3780.0,0,Critical Illness
PL10152,Raheja QBE General Insurance,Raheja QBE General Insurance Individual Health Insurance Silver,18756.84,10000.0,5.0,509154,13433,5.34,"criticalillness,vision,telemedicine,ayush",180,"Punjab,Delhi,Kerala,Karnataka",individual,Silver,17256.29,21007.66,27197.42,50000,Individual Health Insurance
PL10153,Raheja QBE General Insurance,Raheja QBE General Insurance Family Floater Bronze,12124.15,0.0,10.0,206833,9967,6.52,ayush,90,"Punjab,Bihar,Telangana,Delhi",family_floater,Bronze,11154.22,13579.05,17580.02,10000,Family Floater
PL10154,Raheja QBE General Insurance,Raheja QBE General Insurance Senior Citizen Health Gold,25438.23,5000.0,10.0,1058876,3942,1.79,"ayush,dental,vision",30,"Punjab,Uttar Pradesh,Bihar,Maharashtra",individual,Gold,23403.17,28490.82,36885.43,25000,Senior Citizen Health
PL10155,Reliance General Insurance,Reliance General Insurance Individual Health Insurance Gold,23386.5,0.0,10.0,1042539,12192,1.65,"roomrentwaiver,hospitalcash,criticalillness,dental",30,"Andhra Pradesh,Karnataka,Haryana,Punjab",individual,Gold,21515.58,26192.88,33910.42,25000,Individual Health Insurance
PL10156,Reliance General Insurance,Reliance General Insurance Family Floater Silver,20926.83,0.0,5.0,432989,10861,5.97,"hospitalcash,telemedicine,ayush,roomrentwaiver",180,"Andhra Pradesh,Karnataka,Odisha,Haryana",family_floater,Silver,19252.68,23438.05,30343.9,25000,Family Floater
PL10157,Reliance General Insurance,Reliance General Insurance Senior Citizen Health Platinum,43982.64,20000.0,0.0,5127745,12554,2.01,"opd,accident_cover,hospitalcash",30,"Gujarat,Maharashtra,Haryana,Bihar",individual,Platinum,40464.03,49260.56,63774.83,50000,Senior Citizen Health
PL10158,Reliance General Insurance,Reliance General Insurance Critical Illness Plan,525.0,0.0,0.0,500000,3160,2.64,criticalillness,365,"Delhi,Uttar Pradesh,Tamil Nadu,Andhra Pradesh,Rajasthan",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10159,Care Health Insurance,Care Health Insurance Individual Health Insurance Bronze,8224.49,10000.0,0.0,177553,2325,4.48,"maternity,hospitalcash,criticalillness,telemedicine",30,"West Bengal,Andhra Pradesh,Punjab,Bihar",individual,Bronze,7566.53,9211.43,11925.51,5000,Individual Health Insurance
PL10160,Care Health Insurance,Care Health Insurance Family Floater Silver,18666.77,5000.0,15.0,490585,12530,5.31,"roomrentwaiver,dental,accident_cover",60,"Andhra Pradesh,Maharashtra,Bihar,Tamil Nadu",family_floater,Silver,17173.43,20906.78,27066.82,5000,Family Floater
PL10161,Care Health Insurance,Care Health Insurance Senior Citizen Health Bronze,7969.67,0.0,0.0,213157,592,1.52,dental,180,"Odisha,Punjab,Maharashtra,Kerala",individual,Bronze,7332.1,8926.03,11556.02,10000,Senior Citizen Health
PL10162,Care Health Insurance,Care Health Insurance Critical Illness Plan,5250.0,0.0,0.0,5000000,6257,1.69,criticalillness,180,"Gujarat,Bihar,Tamil Nadu,Odisha,Delhi",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10163,Royal Sundaram General Insurance,Royal Sundaram General Insurance Individual Health Insurance Silver,13201.1,0.0,5.0,523638,2347,2.81,ayush,60,"Gujarat,Karnataka,Bihar,West Bengal",individual,Silver,12145.01,14785.23,19141.6,5000,Individual Health Insurance
PL10164,Royal Sundaram General Insurance,Royal Sundaram General Insurance Family Floater Silver,23071.14,5000.0,15.0,481493,2234,5.34,dental,30,"Bihar,Delhi,Andhra Pradesh,Telangana",family_floater,Silver,21225.45,25839.68,33453.15,5000,Family Floater
PL10165,Royal Sundaram General Insurance,Royal Sundaram General Insurance Senior Citizen Health Silver,14144.45,10000.0,0.0,572303,2178,6.2,"hospitalcash,ayush,criticalillness,opd",180,"Haryana,Maharashtra,Kerala,Rajasthan",individual,Silver,13012.89,15841.78,20509.45,10000,Senior Citizen Health
PL10166,SBI General Insurance,SBI General Insurance Individual Health Insurance Silver,14291.81,10000.0,10.0,519890,2045,1.19,"vision,ayush,maternity",60,"Odisha,Karnataka,Haryana,Uttar Pradesh",individual,Silver,13148.47,16006.83,20723.12,50000,Individual Health Insurance
PL10167,SBI General Insurance,SBI General Insurance Family Floater Bronze,12118.14,5000.0,5.0,208608,5322,4.6,"telemedicine,accident_cover,criticalillness,maternity",30,"West Bengal,Rajasthan,Telangana,Tamil Nadu",family_floater,Bronze,11148.69,13572.32,17571.3,10000,Family Floater
PL10168,SBI General Insurance,SBI General Insurance Senior Citizen Health Silver,16019.03,10000.0,10.0,526699,6729,6.6,accident_cover,30,"Haryana,Punjab,Kerala,Gujarat",individual,Silver,14737.51,17941.31,23227.59,10000,Senior Citizen Health
PL10169,SBI General Insurance,SBI General Insurance Critical Illness Plan,2100.0,0.0,0.0,2000000,5146,4.03,criticalillness,90,"Rajasthan,Andhra Pradesh,Telangana,West Bengal,Kerala",individual,Gold,1995.0,2730.0,3780.0,0,Critical Illness
PL10170,Shriram General Insurance,Shriram General Insurance Individual Health Insurance Bronze,6533.21,10000.0,10.0,197217,2182,5.06,maternity,180,"Gujarat,Haryana,Andhra Pradesh,Delhi",individual,Bronze,6010.55,7317.2,9473.15,25000,Individual Health Insurance
PL10171,Shriram General Insurance,Shriram General Insurance Family Floater Bronze,11168.3,0.0,0.0,181095,1835,6.67,"accident_cover,roomrentwaiver,opd",30,"Punjab,Haryana,Bihar,Karnataka",family_floater,Bronze,10274.84,12508.5,16194.03,50000,Family Floater
PL10172,Shriram General Insurance,Shriram General Insurance Senior Citizen Health Bronze,7933.74,20000.0,5.0,178883,13181,1.01,"ayush,maternity",180,"Kerala,Rajasthan,Bihar,Gujarat",individual,Bronze,7299.04,8885.79,11503.92,10000,Senior Citizen Health
PL10173,Star Health and Allied Insurance,Star Health and Allied Insurance Individual Health Insurance Silver,14393.51,5000.0,10.0,438934,6216,0.68,criticalillness,90,"Gujarat,West Bengal,Punjab,Kerala",individual,Silver,13242.03,16120.73,20870.59,25000,Individual Health Insurance
PL10174,Star Health and Allied Insurance,Star Health and Allied Insurance Family Floater Bronze,10306.61,20000.0,5.0,185473,14383,4.56,"vision,accident_cover",30,"Tamil Nadu,Uttar Pradesh,Maharashtra,Andhra Pradesh",family_floater,Bronze,9482.08,11543.4,14944.58,50000,Family Floater
PL10175,Star Health and Allied Insurance,Star Health and Allied Insurance Senior Citizen Health Gold,28204.58,10000.0,5.0,772102,945,7.11,roomrentwaiver,180,"Karnataka,Haryana,Rajasthan,Andhra Pradesh",individual,Gold,25948.21,31589.13,40896.64,50000,Senior Citizen Health
PL10176,Star Health and Allied Insurance,Star Health and Allied Insurance Critical Illness Plan,1050.0,0.0,0.0,1000000,2798,5.05,criticalillness,90,"Rajasthan,Odisha,Telangana,Bihar,Delhi",individual,Gold,997.5,1365.0,1890.0,0,Critical Illness
PL10177,Tata AIG General Insurance,Tata AIG General Insurance Individual Health Insurance Bronze,6529.26,5000.0,0.0,225719,11071,3.5,"maternity,accident_cover,dental,vision",90,"Haryana,Bihar,Delhi,Telangana",individual,Bronze,6006.92,7312.77,9467.43,25000,Individual Health Insurance
PL10178,Tata AIG General Insurance,Tata AIG General Insurance Family Floater Silver,24240.98,0.0,0.0,649981,8659,6.16,"roomrentwaiver,vision,dental",90,"Haryana,Karnataka,Rajasthan,Uttar Pradesh",family_floater,Silver,22301.7,27149.9,35149.42,50000,Family Floater
PL10179,Tata AIG General Insurance,Tata AIG General Insurance Senior Citizen Health Silver,14610.44,20000.0,15.0,519559,899,5.43,"dental,ayush",180,"West Bengal,Rajasthan,Delhi,Uttar Pradesh",individual,Silver,13441.6,16363.69,21185.14,5000,Senior Citizen Health
PL10180,Tata AIG General Insurance,Tata AIG General Insurance Critical Illness Plan,5250.0,0.0,0.0,5000000,3567,5.74,criticalillness,180,"Odisha,West Bengal,Gujarat,Bihar,Rajasthan",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10181,The Oriental Insurance Company,The Oriental Insurance Company Individual Health Insurance Gold,28790.34,20000.0,15.0,1028802,8682,1.92,opd,60,"Maharashtra,Odisha,Rajasthan,Bihar",individual,Gold,26487.11,32245.18,41745.99,5000,Individual Health Insurance
PL10182,The Oriental Insurance Company,The Oriental Insurance Company Family Floater Bronze,11971.28,10000.0,5.0,191504,2297,7.92,telemedicine,90,"West Bengal,Bihar,Telangana,Andhra Pradesh",family_floater,Bronze,11013.58,13407.83,17358.36,5000,Family Floater
PL10183,The Oriental Insurance Company,The Oriental Insurance Company Senior Citizen Health Bronze,6189.06,5000.0,15.0,205583,8021,2.29,"vision,ayush,roomrentwaiver,criticalillness",30,"Uttar Pradesh,Haryana,Rajasthan,West Bengal",individual,Bronze,5693.94,6931.75,8974.14,10000,Senior Citizen Health
PL10184,The Oriental Insurance Company,The Oriental Insurance Company Critical Illness Plan,5250.0,0.0,0.0,5000000,3082,5.75,criticalillness,90,"West Bengal,Bihar,Kerala,Punjab,Uttar Pradesh",individual,Gold,4987.5,6825.0,9450.0,0,Critical Illness
PL10185,United India Insurance Company,United India Insurance Company Individual Health Insurance Silver,15572.0,5000.0,0.0,514410,8520,0.95,vision,90,"Haryana,Tamil Nadu,Telangana,Karnataka",individual,Silver,14326.24,17440.64,22579.4,10000,Individual Health Insurance
PL10186,United India Insurance Company,United India Insurance Company Family Floater Bronze,11811.32,0.0,10.0,197063,5664,5.71,accident_cover,180,"Karnataka,Telangana,Kerala,Tamil Nadu",family_floater,Bronze,10866.41,13228.68,17126.41,10000,Family Floater
PL10187,United India Insurance Company,United India Insurance Company Senior Citizen Health Silver,14224.66,5000.0,0.0,524344,2536,7.25,"maternity,opd,roomrentwaiver",60,"Karnataka,Telangana,Gujarat,Kerala",individual,Silver,13086.69,15931.62,20625.76,5000,Senior Citizen Health
PL10188,United India Insurance Company,United India Insurance Company Critical Illness Plan,525.0,0.0,0.0,500000,5710,0.62,criticalillness,90,"Odisha,Uttar Pradesh,Rajasthan,Delhi,Gujarat",individual,Gold,498.75,682.5,945.0,0,Critical Illness
PL10189,Universal Sompo General Insurance,Universal Sompo General Insurance Individual Health Insurance Gold,23361.6,5000.0,5.0,1137873,13925,0.54,maternity,60,"Punjab,Kerala,Maharashtra,Haryana",individual,Gold,21492.67,26164.99,33874.32,25000,Individual Health Insurance
PL10190,Universal Sompo General Insurance,Universal Sompo General Insurance Family Floater Bronze,11515.67,0.0,15.0,219564,13971,3.25,dental,60,"West Bengal,Gujarat,Rajasthan,Bihar",family_floater,Bronze,10594.42,12897.55,16697.72,25000,Family Floater
PL10191,Universal Sompo General Insurance,Universal Sompo General Insurance Senior Citizen Health Bronze,7256.88,20000.0,10.0,221722,13957,3.12,"telemedicine,maternity,accident_cover,vision",30,"Karnataka,West Bengal,Kerala,Haryana",individual,Bronze,6676.33,8127.71,10522.48,10000,Senior Citizen Health
PL10192,Kshema General Insurance,Kshema General Insurance Individual Health Insurance Gold,31701.09,0.0,15.0,1142559,11844,7.04,"roomrentwaiver,ayush,opd,telemedicine",90,"Uttar Pradesh,Gujarat,Andhra Pradesh,Odisha",individual,Gold,29165.0,35505.22,45966.58,25000,Individual Health Insurance
PL10193,Kshema General Insurance,Kshema General Insurance Family Floater Silver,21894.42,10000.0,15.0,485781,11564,1.12,"ayush,telemedicine",180,"Uttar Pradesh,Delhi,Bihar,Odisha",family_floater,Silver,20142.87,24521.75,31746.91,50000,Family Floater
PL10194,Kshema General Insurance,Kshema General Insurance Senior Citizen Health Bronze,6817.93,20000.0,5.0,190490,14180,2.86,"hospitalcash,telemedicine",60,"Punjab,Odisha,Telangana,Tamil Nadu",individual,Bronze,6272.5,7636.08,9886.0,5000,Senior Citizen Health
PL10195,Kshema General Insurance,Kshema General Insurance Critical Illness Plan,1050.0,0.0,0.0,1000000,818,5.31,criticalillness,365,"Tamil Nadu,Odisha,Uttar Pradesh,Gujarat,Rajasthan",individual,Gold,997.5,1365.0,1890.0,0,Critical Illness
PL10196,Galaxy Health Insurance,Galaxy Health Insurance Individual Health Insurance Silver,13679.12,0.0,5.0,436020,11597,1.15,maternity,60,"Delhi,Punjab,Haryana,Uttar Pradesh",individual,Silver,12584.79,15320.61,19834.72,10000,Individual Health Insurance
PL10197,Galaxy Health Insurance,Galaxy Health Insurance Family Floater Silver,24174.7,20000.0,10.0,421029,6447,2.78,"telemedicine,roomrentwaiver,dental",90,"Tamil Nadu,Andhra Pradesh,West Bengal,Odisha",family_floater,Silver,22240.72,27075.66,35053.32,5000,Family Floater
PL10198,Galaxy Health Insurance,Galaxy Health Insurance Senior Citizen Health Gold,30715.64,10000.0,15.0,1060712,3793,3.28,"opd,telemedicine",180,"Telangana,Odisha,Andhra Pradesh,Rajasthan",individual,Gold,28258.39,34401.52,44537.68,25000,Senior Citizen Health
PL10199,Galaxy Health Insurance,Galaxy Health Insurance Critical Illness Plan,1050.0,0.0,0.0,1000000,1192,1.97,criticalillness,180,"Delhi,Karnataka,West Bengal,Punjab,Tamil Nadu",individual,Gold,997.5,1365.0,1890.0,0,Critical Illness
PL10200,Bandhan General Insurance,Bandhan General Insurance Individual Health Insurance Gold,26629.37,10000.0,5.0,1085575,8534,0.8,dental,180,"Rajasthan,Maharashtra,Odisha,West Bengal",individual,Gold,24499.02,29824.89,38612.59,10000,Individual Health Insurance
PL10201,Bandhan General Insurance,Bandhan General Insurance Family Floater Bronze,11839.95,10000.0,5.0,210599,1703,3.55,"accident_cover,vision,opd",30,"Tamil Nadu,Rajasthan,Haryana,Maharashtra",family_floater,Bronze,10892.75,13260.74,17167.93,25000,Family Floater
PL10202,Bandhan General Insurance,Bandhan General Insurance Senior Citizen Health Bronze,7684.68,10000.0,10.0,243263,3677,7.88,"roomrentwaiver,criticalillness,dental",90,"Punjab,Gujarat,Kerala,Uttar Pradesh",individual,Bronze,7069.91,8606.84,11142.79,5000,Senior Citizen Health
PL10203,Ayushman Bharat,Ayushman Bharat - PMJAY package,0.0,0.0,0.0,500000,50000,1.54,"pmjay_package,govt_empanelled",0,Pan-India,family_floater,Government,0.0,0.0,0.0,0,Government Scheme - PMJAY
