plan_id,provider,plan_name,premium,deductible,network_size,coverage_amount,age_range,risk_profile,highlight_text,why_good_1,why_good_2,why_good_3,relevance_score
PL10078,Acko General Insurance,Acko General Insurance Individual Health Insurance Bronze,8469.07,5000.0,731,179161,25-60,high,"Acko General Insurance | ₹179,161 coverage | ₹8469.07/month premium","Affordable ₹8469.07/month plan offering ₹179,161 coverage.",Strong reliability with 731 hospitals and low claim rejection rate (6.47%).,"Includes opd,hospitalcash,maternity and fast claim processing.",2
PL10079,Acko General Insurance,Acko General Insurance Family Floater Gold,44078.87,10000.0,14301,946170,25-60,high,"Acko General Insurance | ₹946,170 coverage | ₹44078.87/month premium","Affordable ₹44078.87/month plan offering ₹946,170 coverage.",Strong reliability with 14301 hospitals and low claim rejection rate (3.56%).,"Includes opd,criticalillness,hospitalcash and fast claim processing.",1
PL10080,Acko General Insurance,Acko General Insurance Senior Citizen Health Silver,13711.83,0.0,3462,482945,25-60,high,"Acko General Insurance | ₹482,945 coverage | ₹13711.83/month premium","Affordable ₹13711.83/month plan offering ₹482,945 coverage.",Strong reliability with 3462 hospitals and low claim rejection rate (6.7%).,Includes ayush and fast claim processing.,3
PL10081,Aditya Birla Health Insurance,Aditya Birla Health Insurance Individual Health Insurance Gold,33394.1,0.0,14148,1047437,25-60,high,"Aditya Birla Health Insurance | ₹1,047,437 coverage | ₹33394.1/month premium","Affordable ₹33394.1/month plan offering ₹1,047,437 coverage.",Strong reliability with 14148 hospitals and low claim rejection rate (4.95%).,"Includes hospitalcash,telemedicine and fast claim processing.",3
PL10082,Aditya Birla Health Insurance,Aditya Birla Health Insurance Family Floater Silver,23231.67,5000.0,14513,502749,25-60,high,"Aditya Birla Health Insurance | ₹502,749 coverage | ₹23231.67/month premium","Affordable ₹23231.67/month plan offering ₹502,749 coverage.",Strong reliability with 14513 hospitals and low claim rejection rate (6.91%).,"Includes accident_cover,vision,maternity,dental and fast claim processing.",1
PL10083,Aditya Birla Health Insurance,Aditya Birla Health Insurance Senior Citizen Health Bronze,5846.65,0.0,14456,204507,25-60,high,"Aditya Birla Health Insurance | ₹204,507 coverage | ₹5846.65/month premium","Affordable ₹5846.65/month plan offering ₹204,507 coverage.",Strong reliability with 14456 hospitals and low claim rejection rate (7.68%).,"Includes criticalillness,maternity,dental and fast claim processing.",3
PL10084,Aditya Birla Health Insurance,Aditya Birla Health Insurance Critical Illness Plan,525.0,0.0,6784,500000,25-60,high,"Aditya Birla Health Insurance | ₹500,000 coverage | ₹525.0/month premium","Affordable ₹525.0/month plan offering ₹500,000 coverage.",Strong reliability with 6784 hospitals and low claim rejection rate (5.16%).,Includes criticalillness and fast claim processing.,3
PL10085,Agriculture Insurance Company of India,Agriculture Insurance Company of India Individual Health Insurance Silver,14762.72,20000.0,8086,589460,25-60,high,"Agriculture Insurance Company of India | ₹589,460 coverage | ₹14762.72/month premium","Affordable ₹14762.72/month plan offering ₹589,460 coverage.",Strong reliability with 8086 hospitals and low claim rejection rate (1.47%).,"Includes ayush,criticalillness,vision and fast claim processing.",2
PL10086,Agriculture Insurance Company of India,Agriculture Insurance Company of India Family Floater Bronze,10651.86,10000.0,9577,181647,25-60,high,"Agriculture Insurance Company of India | ₹181,647 coverage | ₹10651.86/month premium","Affordable ₹10651.86/month plan offering ₹181,647 coverage.",Strong reliability with 9577 hospitals and low claim rejection rate (4.09%).,"Includes maternity,hospitalcash and fast claim processing.",2
PL10087,Agriculture Insurance Company of India,Agriculture Insurance Company of India Senior Citizen Health Bronze,9502.98,5000.0,8678,200470,25-60,high,"Agriculture Insurance Company of India | ₹200,470 coverage | ₹9502.98/month premium","Affordable ₹9502.98/month plan offering ₹200,470 coverage.",Strong reliability with 8678 hospitals and low claim rejection rate (6.1%).,Includes hospitalcash and fast claim processing.,1
PL10088,Agriculture Insurance Company of India,Agriculture Insurance Company of India Critical Illness Plan,1050.0,0.0,7015,1000000,25-60,high,"Agriculture Insurance Company of India | ₹1,000,000 coverage | ₹1050.0/month premium","Affordable ₹1050.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 7015 hospitals and low claim rejection rate (0.52%).,Includes criticalillness and fast claim processing.,1
PL10089,Bajaj Allianz General Insurance,Bajaj Allianz General Insurance Individual Health Insurance Gold,27266.04,0.0,13320,1031249,25-60,high,"Bajaj Allianz General Insurance | ₹1,031,249 coverage | ₹27266.04/month premium","Affordable ₹27266.04/month plan offering ₹1,031,249 coverage.",Strong reliability with 13320 hospitals and low claim rejection rate (2.91%).,Includes ayush and fast claim processing.,3
PL10090,Bajaj Allianz General Insurance,Bajaj Allianz General Insurance Family Floater Silver,20244.22,5000.0,8995,487987,25-60,high,"Bajaj Allianz General Insurance | ₹487,987 coverage | ₹20244.22/month premium","Affordable ₹20244.22/month plan offering ₹487,987 coverage.",Strong reliability with 8995 hospitals and low claim rejection rate (6.26%).,"Includes vision,roomrentwaiver,opd and fast claim processing.",2
PL10091,Bajaj Allianz General Insurance,Bajaj Allianz General Insurance Senior Citizen Health Bronze,7578.32,5000.0,10016,226911,25-60,high,"Bajaj Allianz General Insurance | ₹226,911 coverage | ₹7578.32/month premium","Affordable ₹7578.32/month plan offering ₹226,911 coverage.",Strong reliability with 10016 hospitals and low claim rejection rate (3.2%).,Includes ayush and fast claim processing.,2
PL10092,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Individual Health Insurance Gold,23031.53,10000.0,7250,934324,25-60,high,"Cholamandalam MS General Insurance | ₹934,324 coverage | ₹23031.53/month premium","Affordable ₹23031.53/month plan offering ₹934,324 coverage.",Strong reliability with 7250 hospitals and low claim rejection rate (2.93%).,Includes dental and fast claim processing.,1
PL10093,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Family Floater Gold,38904.56,20000.0,12739,929736,25-60,high,"Cholamandalam MS General Insurance | ₹929,736 coverage | ₹38904.56/month premium","Affordable ₹38904.56/month plan offering ₹929,736 coverage.",Strong reliability with 12739 hospitals and low claim rejection rate (6.97%).,Includes telemedicine and fast claim processing.,2
PL10094,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Senior Citizen Health Bronze,6262.05,20000.0,4588,225640,25-60,high,"Cholamandalam MS General Insurance | ₹225,640 coverage | ₹6262.05/month premium","Affordable ₹6262.05/month plan offering ₹225,640 coverage.",Strong reliability with 4588 hospitals and low claim rejection rate (3.32%).,Includes dental and fast claim processing.,3
PL10095,Cholamandalam MS General Insurance,Cholamandalam MS General Insurance Critical Illness Plan,2100.0,0.0,3489,2000000,25-60,high,"Cholamandalam MS General Insurance | ₹2,000,000 coverage | ₹2100.0/month premium","Affordable ₹2100.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 3489 hospitals and low claim rejection rate (1.91%).,Includes criticalillness and fast claim processing.,1
PL10096,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Individual Health Insurance Bronze,8666.61,10000.0,7382,231183,25-60,high,"Manipal Cigna Health Insurance | ₹231,183 coverage | ₹8666.61/month premium","Affordable ₹8666.61/month plan offering ₹231,183 coverage.",Strong reliability with 7382 hospitals and low claim rejection rate (7.78%).,"Includes dental,roomrentwaiver,hospitalcash and fast claim processing.",2
PL10097,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Family Floater Bronze,11613.22,10000.0,12311,222655,25-60,high,"Manipal Cigna Health Insurance | ₹222,655 coverage | ₹11613.22/month premium","Affordable ₹11613.22/month plan offering ₹222,655 coverage.",Strong reliability with 12311 hospitals and low claim rejection rate (0.86%).,"Includes vision,opd and fast claim processing.",2
PL10098,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Senior Citizen Health Bronze,7753.73,20000.0,6384,188979,25-60,high,"Manipal Cigna Health Insurance | ₹188,979 coverage | ₹7753.73/month premium","Affordable ₹7753.73/month plan offering ₹188,979 coverage.",Strong reliability with 6384 hospitals and low claim rejection rate (3.94%).,Includes opd and fast claim processing.,2
PL10099,Manipal Cigna Health Insurance,Manipal Cigna Health Insurance Critical Illness Plan,2100.0,0.0,6859,2000000,25-60,high,"Manipal Cigna Health Insurance | ₹2,000,000 coverage | ₹2100.0/month premium","Affordable ₹2100.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 6859 hospitals and low claim rejection rate (3.02%).,Includes criticalillness and fast claim processing.,3
PL10100,Navi General Insurance,Navi General Insurance Individual Health Insurance Gold,21488.16,0.0,8319,992968,25-60,high,"Navi General Insurance | ₹992,968 coverage | ₹21488.16/month premium","Affordable ₹21488.16/month plan offering ₹992,968 coverage.",Strong reliability with 8319 hospitals and low claim rejection rate (5.88%).,"Includes ayush,opd and fast claim processing.",1
PL10101,Navi General Insurance,Navi General Insurance Family Floater Silver,23330.74,5000.0,9386,538461,25-60,high,"Navi General Insurance | ₹538,461 coverage | ₹23330.74/month premium","Affordable ₹23330.74/month plan offering ₹538,461 coverage.",Strong reliability with 9386 hospitals and low claim rejection rate (5.74%).,"Includes maternity,accident_cover,hospitalcash and fast claim processing.",3
PL10102,Navi General Insurance,Navi General Insurance Senior Citizen Health Bronze,6214.81,5000.0,12223,182158,25-60,high,"Navi General Insurance | ₹182,158 coverage | ₹6214.81/month premium","Affordable ₹6214.81/month plan offering ₹182,158 coverage.",Strong reliability with 12223 hospitals and low claim rejection rate (3.4%).,Includes dental and fast claim processing.,2
PL10103,Navi General Insurance,Navi General Insurance Critical Illness Plan,525.0,0.0,3547,500000,25-60,high,"Navi General Insurance | ₹500,000 coverage | ₹525.0/month premium","Affordable ₹525.0/month plan offering ₹500,000 coverage.",Strong reliability with 3547 hospitals and low claim rejection rate (3.42%).,Includes criticalillness and fast claim processing.,2
PL10104,Go Digit Insurance,Go Digit Insurance Individual Health Insurance Bronze,6303.52,5000.0,8427,172438,25-60,high,"Go Digit Insurance | ₹172,438 coverage | ₹6303.52/month premium","Affordable ₹6303.52/month plan offering ₹172,438 coverage.",Strong reliability with 8427 hospitals and low claim rejection rate (4.88%).,"Includes criticalillness,hospitalcash and fast claim processing.",1
PL10105,Go Digit Insurance,Go Digit Insurance Family Floater Silver,25315.21,20000.0,5914,477257,25-60,high,"Go Digit Insurance | ₹477,257 coverage | ₹25315.21/month premium","Affordable ₹25315.21/month plan offering ₹477,257 coverage.",Strong reliability with 5914 hospitals and low claim rejection rate (6.1%).,"Includes hospitalcash,maternity,opd,accident_cover and fast claim processing.",1
PL10106,Go Digit Insurance,Go Digit Insurance Senior Citizen Health Bronze,7099.03,20000.0,11505,152618,25-60,high,"Go Digit Insurance | ₹152,618 coverage | ₹7099.03/month premium","Affordable ₹7099.03/month plan offering ₹152,618 coverage.",Strong reliability with 11505 hospitals and low claim rejection rate (2.79%).,"Includes opd,telemedicine,criticalillness,ayush and fast claim processing.",3
PL10107,Go Digit Insurance,Go Digit Insurance Critical Illness Plan,5250.0,0.0,7528,5000000,25-60,high,"Go Digit Insurance | ₹5,000,000 coverage | ₹5250.0/month premium","Affordable ₹5250.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 7528 hospitals and low claim rejection rate (3.13%).,Includes criticalillness and fast claim processing.,2
PL10108,Zuno General Insurance,Zuno General Insurance Individual Health Insurance Gold,26323.85,20000.0,14038,896754,25-60,high,"Zuno General Insurance | ₹896,754 coverage | ₹26323.85/month premium","Affordable ₹26323.85/month plan offering ₹896,754 coverage.",Strong reliability with 14038 hospitals and low claim rejection rate (7.75%).,"Includes roomrentwaiver,maternity,accident_cover,opd and fast claim processing.",1
PL10109,Zuno General Insurance,Zuno General Insurance Family Floater Bronze,11898.05,20000.0,5824,210059,25-60,high,"Zuno General Insurance | ₹210,059 coverage | ₹11898.05/month premium","Affordable ₹11898.05/month plan offering ₹210,059 coverage.",Strong reliability with 5824 hospitals and low claim rejection rate (4.44%).,Includes dental and fast claim processing.,1
PL10110,Zuno General Insurance,Zuno General Insurance Senior Citizen Health Silver,13736.38,5000.0,13964,536281,25-60,high,"Zuno General Insurance | ₹536,281 coverage | ₹13736.38/month premium","Affordable ₹13736.38/month plan offering ₹536,281 coverage.",Strong reliability with 13964 hospitals and low claim rejection rate (5.09%).,"Includes roomrentwaiver,criticalillness and fast claim processing.",1
PL10111,ECGC Limited,ECGC Limited Individual Health Insurance Bronze,7486.04,10000.0,6707,190272,25-60,high,"ECGC Limited | ₹190,272 coverage | ₹7486.04/month premium","Affordable ₹7486.04/month plan offering ₹190,272 coverage.",Strong reliability with 6707 hospitals and low claim rejection rate (2.2%).,"Includes opd,roomrentwaiver,maternity and fast claim processing.",3
PL10112,ECGC Limited,ECGC Limited Family Floater Gold,37497.39,5000.0,8007,1164581,25-60,high,"ECGC Limited | ₹1,164,581 coverage | ₹37497.39/month premium","Affordable ₹37497.39/month plan offering ₹1,164,581 coverage.",Strong reliability with 8007 hospitals and low claim rejection rate (1.88%).,"Includes dental,accident_cover,opd and fast claim processing.",2
PL10113,ECGC Limited,ECGC Limited Senior Citizen Health Silver,12791.51,5000.0,1838,433714,25-60,high,"ECGC Limited | ₹433,714 coverage | ₹12791.51/month premium","Affordable ₹12791.51/month plan offering ₹433,714 coverage.",Strong reliability with 1838 hospitals and low claim rejection rate (1.69%).,Includes hospitalcash and fast claim processing.,2
PL10114,ECGC Limited,ECGC Limited Critical Illness Plan,525.0,0.0,2139,500000,25-60,high,"ECGC Limited | ₹500,000 coverage | ₹525.0/month premium","Affordable ₹525.0/month plan offering ₹500,000 coverage.",Strong reliability with 2139 hospitals and low claim rejection rate (5.01%).,Includes criticalillness and fast claim processing.,3
PL10115,Future Generali India Insurance,Future Generali India Insurance Individual Health Insurance Bronze,8074.73,5000.0,2491,199605,25-60,high,"Future Generali India Insurance | ₹199,605 coverage | ₹8074.73/month premium","Affordable ₹8074.73/month plan offering ₹199,605 coverage.",Strong reliability with 2491 hospitals and low claim rejection rate (4.32%).,"Includes accident_cover,maternity,opd,dental and fast claim processing.",3
PL10116,Future Generali India Insurance,Future Generali India Insurance Family Floater Bronze,12432.66,20000.0,3231,233568,25-60,high,"Future Generali India Insurance | ₹233,568 coverage | ₹12432.66/month premium","Affordable ₹12432.66/month plan offering ₹233,568 coverage.",Strong reliability with 3231 hospitals and low claim rejection rate (3.21%).,"Includes maternity,telemedicine,accident_cover and fast claim processing.",3
PL10117,Future Generali India Insurance,Future Generali India Insurance Senior Citizen Health Silver,11298.27,5000.0,1968,509144,25-60,high,"Future Generali India Insurance | ₹509,144 coverage | ₹11298.27/month premium","Affordable ₹11298.27/month plan offering ₹509,144 coverage.",Strong reliability with 1968 hospitals and low claim rejection rate (5.78%).,"Includes ayush,telemedicine and fast claim processing.",2
PL10118,Future Generali India Insurance,Future Generali India Insurance Critical Illness Plan,5250.0,0.0,7472,5000000,25-60,high,"Future Generali India Insurance | ₹5,000,000 coverage | ₹5250.0/month premium","Affordable ₹5250.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 7472 hospitals and low claim rejection rate (3.14%).,Includes criticalillness and fast claim processing.,1
PL10119,HDFC ERGO General Insurance,HDFC ERGO General Insurance Individual Health Insurance Gold,28460.03,5000.0,11184,1025766,25-60,high,"HDFC ERGO General Insurance | ₹1,025,766 coverage | ₹28460.03/month premium","Affordable ₹28460.03/month plan offering ₹1,025,766 coverage.",Strong reliability with 11184 hospitals and low claim rejection rate (6.81%).,"Includes telemedicine,opd,dental,criticalillness and fast claim processing.",2
PL10120,HDFC ERGO General Insurance,HDFC ERGO General Insurance Family Floater Bronze,11534.07,0.0,14040,193295,25-60,high,"HDFC ERGO General Insurance | ₹193,295 coverage | ₹11534.07/month premium","Affordable ₹11534.07/month plan offering ₹193,295 coverage.",Strong reliability with 14040 hospitals and low claim rejection rate (6.2%).,"Includes vision,accident_cover and fast claim processing.",1
PL10121,HDFC ERGO General Insurance,HDFC ERGO General Insurance Senior Citizen Health Silver,16014.4,10000.0,9971,563053,25-60,high,"HDFC ERGO General Insurance | ₹563,053 coverage | ₹16014.4/month premium","Affordable ₹16014.4/month plan offering ₹563,053 coverage.",Strong reliability with 9971 hospitals and low claim rejection rate (1.17%).,Includes telemedicine and fast claim processing.,2
PL10122,HDFC ERGO General Insurance,HDFC ERGO General Insurance Critical Illness Plan,5250.0,0.0,6402,5000000,25-60,high,"HDFC ERGO General Insurance | ₹5,000,000 coverage | ₹5250.0/month premium","Affordable ₹5250.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 6402 hospitals and low claim rejection rate (5.66%).,Includes criticalillness and fast claim processing.,3
PL10123,ICICI Lombard General Insurance,ICICI Lombard General Insurance Individual Health Insurance Bronze,7852.92,0.0,6304,222510,25-60,high,"ICICI Lombard General Insurance | ₹222,510 coverage | ₹7852.92/month premium","Affordable ₹7852.92/month plan offering ₹222,510 coverage.",Strong reliability with 6304 hospitals and low claim rejection rate (6.96%).,"Includes criticalillness,hospitalcash,vision and fast claim processing.",1
PL10124,ICICI Lombard General Insurance,ICICI Lombard General Insurance Family Floater Silver,24314.31,10000.0,4623,504913,25-60,high,"ICICI Lombard General Insurance | ₹504,913 coverage | ₹24314.31/month premium","Affordable ₹24314.31/month plan offering ₹504,913 coverage.",Strong reliability with 4623 hospitals and low claim rejection rate (2.68%).,"Includes accident_cover,criticalillness and fast claim processing.",2
PL10125,ICICI Lombard General Insurance,ICICI Lombard General Insurance Senior Citizen Health Silver,15939.96,20000.0,8085,442494,25-60,high,"ICICI Lombard General Insurance | ₹442,494 coverage | ₹15939.96/month premium","Affordable ₹15939.96/month plan offering ₹442,494 coverage.",Strong reliability with 8085 hospitals and low claim rejection rate (3.64%).,"Includes vision,criticalillness and fast claim processing.",2
PL10126,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Individual Health Insurance Silver,16027.67,20000.0,10664,500148,25-60,high,"IFFCO TOKIO General Insurance | ₹500,148 coverage | ₹16027.67/month premium","Affordable ₹16027.67/month plan offering ₹500,148 coverage.",Strong reliability with 10664 hospitals and low claim rejection rate (1.69%).,"Includes criticalillness,telemedicine,dental and fast claim processing.",2
PL10127,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Family Floater Silver,21438.08,5000.0,2734,513097,25-60,high,"IFFCO TOKIO General Insurance | ₹513,097 coverage | ₹21438.08/month premium","Affordable ₹21438.08/month plan offering ₹513,097 coverage.",Strong reliability with 2734 hospitals and low claim rejection rate (3.51%).,"Includes vision,opd,criticalillness,dental and fast claim processing.",2
PL10128,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Senior Citizen Health Silver,12271.89,20000.0,11927,466006,25-60,high,"IFFCO TOKIO General Insurance | ₹466,006 coverage | ₹12271.89/month premium","Affordable ₹12271.89/month plan offering ₹466,006 coverage.",Strong reliability with 11927 hospitals and low claim rejection rate (0.69%).,"Includes roomrentwaiver,telemedicine and fast claim processing.",3
PL10129,IFFCO TOKIO General Insurance,IFFCO TOKIO General Insurance Critical Illness Plan,5250.0,0.0,6148,5000000,25-60,high,"IFFCO TOKIO General Insurance | ₹5,000,000 coverage | ₹5250.0/month premium","Affordable ₹5250.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 6148 hospitals and low claim rejection rate (3.99%).,Includes criticalillness and fast claim processing.,2
PL10130,Zurich Kotak General Insurance,Zurich Kotak General Insurance Individual Health Insurance Bronze,5278.36,20000.0,3841,219527,25-60,high,"Zurich Kotak General Insurance | ₹219,527 coverage | ₹5278.36/month premium","Affordable ₹5278.36/month plan offering ₹219,527 coverage.",Strong reliability with 3841 hospitals and low claim rejection rate (1.11%).,Includes vision and fast claim processing.,2
PL10131,Zurich Kotak General Insurance,Zurich Kotak General Insurance Family Floater Silver,21014.18,20000.0,6354,512225,25-60,high,"Zurich Kotak General Insurance | ₹512,225 coverage | ₹21014.18/month premium","Affordable ₹21014.18/month plan offering ₹512,225 coverage.",Strong reliability with 6354 hospitals and low claim rejection rate (1.18%).,Includes opd and fast claim processing.,3
PL10132,Zurich Kotak General Insurance,Zurich Kotak General Insurance Senior Citizen Health Gold,24575.71,0.0,9253,1062055,25-60,high,"Zurich Kotak General Insurance | ₹1,062,055 coverage | ₹24575.71/month premium","Affordable ₹24575.71/month plan offering ₹1,062,055 coverage.",Strong reliability with 9253 hospitals and low claim rejection rate (0.84%).,"Includes dental,criticalillness,vision,hospitalcash and fast claim processing.",3
PL10133,Zurich Kotak General Insurance,Zurich Kotak General Insurance Critical Illness Plan,2100.0,0.0,3006,2000000,25-60,high,"Zurich Kotak General Insurance | ₹2,000,000 coverage | ₹2100.0/month premium","Affordable ₹2100.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 3006 hospitals and low claim rejection rate (3.62%).,Includes criticalillness and fast claim processing.,2
PL10134,Liberty General Insurance,Liberty General Insurance Individual Health Insurance Gold,20476.56,0.0,8626,817179,25-60,high,"Liberty General Insurance | ₹817,179 coverage | ₹20476.56/month premium","Affordable ₹20476.56/month plan offering ₹817,179 coverage.",Strong reliability with 8626 hospitals and low claim rejection rate (5.67%).,"Includes opd,vision and fast claim processing.",3
PL10135,Liberty General Insurance,Liberty General Insurance Family Floater Gold,39574.72,20000.0,5418,1183780,25-60,high,"Liberty General Insurance | ₹1,183,780 coverage | ₹39574.72/month premium","Affordable ₹39574.72/month plan offering ₹1,183,780 coverage.",Strong reliability with 5418 hospitals and low claim rejection rate (1.61%).,Includes accident_cover and fast claim processing.,2
PL10136,Liberty General Insurance,Liberty General Insurance Senior Citizen Health Silver,11725.96,20000.0,9823,587330,25-60,high,"Liberty General Insurance | ₹587,330 coverage | ₹11725.96/month premium","Affordable ₹11725.96/month plan offering ₹587,330 coverage.",Strong reliability with 9823 hospitals and low claim rejection rate (3.3%).,Includes maternity and fast claim processing.,1
PL10137,Magma General Insurance,Magma General Insurance Individual Health Insurance Bronze,6163.92,20000.0,3800,190601,25-60,high,"Magma General Insurance | ₹190,601 coverage | ₹6163.92/month premium","Affordable ₹6163.92/month plan offering ₹190,601 coverage.",Strong reliability with 3800 hospitals and low claim rejection rate (5.75%).,Includes roomrentwaiver and fast claim processing.,1
PL10138,Magma General Insurance,Magma General Insurance Family Floater Bronze,11003.61,5000.0,659,219111,25-60,high,"Magma General Insurance | ₹219,111 coverage | ₹11003.61/month premium","Affordable ₹11003.61/month plan offering ₹219,111 coverage.",Strong reliability with 659 hospitals and low claim rejection rate (7.41%).,"Includes ayush,hospitalcash and fast claim processing.",2
PL10139,Magma General Insurance,Magma General Insurance Senior Citizen Health Bronze,6672.37,20000.0,10251,223732,25-60,high,"Magma General Insurance | ₹223,732 coverage | ₹6672.37/month premium","Affordable ₹6672.37/month plan offering ₹223,732 coverage.",Strong reliability with 10251 hospitals and low claim rejection rate (3.69%).,"Includes hospitalcash,vision,accident_cover and fast claim processing.",3
PL10140,Niva Bupa Health Insurance,Niva Bupa Health Insurance Individual Health Insurance Gold,25684.38,20000.0,13076,1073699,25-60,high,"Niva Bupa Health Insurance | ₹1,073,699 coverage | ₹25684.38/month premium","Affordable ₹25684.38/month plan offering ₹1,073,699 coverage.",Strong reliability with 13076 hospitals and low claim rejection rate (6.54%).,Includes hospitalcash and fast claim processing.,3
PL10141,Niva Bupa Health Insurance,Niva Bupa Health Insurance Family Floater Silver,22487.98,0.0,10370,559581,25-60,high,"Niva Bupa Health Insurance | ₹559,581 coverage | ₹22487.98/month premium","Affordable ₹22487.98/month plan offering ₹559,581 coverage.",Strong reliability with 10370 hospitals and low claim rejection rate (4.31%).,"Includes opd,telemedicine and fast claim processing.",1
PL10142,Niva Bupa Health Insurance,Niva Bupa Health Insurance Senior Citizen Health Silver,12834.12,20000.0,13106,535689,25-60,high,"Niva Bupa Health Insurance | ₹535,689 coverage | ₹12834.12/month premium","Affordable ₹12834.12/month plan offering ₹535,689 coverage.",Strong reliability with 13106 hospitals and low claim rejection rate (2.06%).,"Includes vision,accident_cover,dental and fast claim processing.",2
PL10143,Niva Bupa Health Insurance,Niva Bupa Health Insurance Critical Illness Plan,525.0,0.0,4443,500000,25-60,high,"Niva Bupa Health Insurance | ₹500,000 coverage | ₹525.0/month premium","Affordable ₹525.0/month plan offering ₹500,000 coverage.",Strong reliability with 4443 hospitals and low claim rejection rate (1.78%).,Includes criticalillness and fast claim processing.,1
PL10144,National Insurance Company,National Insurance Company Individual Health Insurance Bronze,8046.93,20000.0,8044,216721,25-60,high,"National Insurance Company | ₹216,721 coverage | ₹8046.93/month premium","Affordable ₹8046.93/month plan offering ₹216,721 coverage.",Strong reliability with 8044 hospitals and low claim rejection rate (4.42%).,"Includes criticalillness,vision and fast claim processing.",3
PL10145,National Insurance Company,National Insurance Company Family Floater Bronze,12868.09,20000.0,1305,208627,25-60,high,"National Insurance Company | ₹208,627 coverage | ₹12868.09/month premium","Affordable ₹12868.09/month plan offering ₹208,627 coverage.",Strong reliability with 1305 hospitals and low claim rejection rate (7.44%).,Includes criticalillness and fast claim processing.,2
PL10146,National Insurance Company,National Insurance Company Senior Citizen Health Gold,30055.6,20000.0,7960,1098150,25-60,high,"National Insurance Company | ₹1,098,150 coverage | ₹30055.6/month premium","Affordable ₹30055.6/month plan offering ₹1,098,150 coverage.",Strong reliability with 7960 hospitals and low claim rejection rate (4.94%).,Includes telemedicine and fast claim processing.,3
PL10147,National Insurance Company,National Insurance Company Critical Illness Plan,525.0,0.0,1080,500000,25-60,high,"National Insurance Company | ₹500,000 coverage | ₹525.0/month premium","Affordable ₹525.0/month plan offering ₹500,000 coverage.",Strong reliability with 1080 hospitals and low claim rejection rate (5.74%).,Includes criticalillness and fast claim processing.,2
PL10148,New India Assurance Company,New India Assurance Company Individual Health Insurance Silver,12944.84,10000.0,13004,511166,25-60,high,"New India Assurance Company | ₹511,166 coverage | ₹12944.84/month premium","Affordable ₹12944.84/month plan offering ₹511,166 coverage.",Strong reliability with 13004 hospitals and low claim rejection rate (6.78%).,Includes accident_cover and fast claim processing.,3
PL10149,New India Assurance Company,New India Assurance Company Family Floater Platinum,62118.03,5000.0,4404,4950665,25-60,high,"New India Assurance Company | ₹4,950,665 coverage | ₹62118.03/month premium","Affordable ₹62118.03/month plan offering ₹4,950,665 coverage.",Strong reliability with 4404 hospitals and low claim rejection rate (6.87%).,"Includes telemedicine,vision,maternity,roomrentwaiver and fast claim processing.",1
PL10150,New India Assurance Company,New India Assurance Company Senior Citizen Health Gold,30448.78,5000.0,14567,959496,25-60,high,"New India Assurance Company | ₹959,496 coverage | ₹30448.78/month premium","Affordable ₹30448.78/month plan offering ₹959,496 coverage.",Strong reliability with 14567 hospitals and low claim rejection rate (7.34%).,"Includes hospitalcash,ayush and fast claim processing.",2
PL10151,New India Assurance Company,New India Assurance Company Critical Illness Plan,2100.0,0.0,273,2000000,25-60,high,"New India Assurance Company | ₹2,000,000 coverage | ₹2100.0/month premium","Affordable ₹2100.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 273 hospitals and low claim rejection rate (1.14%).,Includes criticalillness and fast claim processing.,3
PL10152,Raheja QBE General Insurance,Raheja QBE General Insurance Individual Health Insurance Silver,18756.84,10000.0,13433,509154,25-60,high,"Raheja QBE General Insurance | ₹509,154 coverage | ₹18756.84/month premium","Affordable ₹18756.84/month plan offering ₹509,154 coverage.",Strong reliability with 13433 hospitals and low claim rejection rate (5.34%).,"Includes criticalillness,vision,telemedicine,ayush and fast claim processing.",2
PL10153,Raheja QBE General Insurance,Raheja QBE General Insurance Family Floater Bronze,12124.15,0.0,9967,206833,25-60,high,"Raheja QBE General Insurance | ₹206,833 coverage | ₹12124.15/month premium","Affordable ₹12124.15/month plan offering ₹206,833 coverage.",Strong reliability with 9967 hospitals and low claim rejection rate (6.52%).,Includes ayush and fast claim processing.,1
